code,date,comments,likes,caption,image
BEsilMcR0T_,1461743435,6,386,"Milí Martinusáci, ďakujeme! Aj vďaka vám sme sa stali tretíkrát Absolútnym víťazom MasterCard Obchodník roka a do tretice sme získali aj cenu MasterCard Obchodník s knihami! Tešíme sa, že pomáhate tvoriť naše spoločné príbehy 📚🙏 #martinussk #obchodnikroka #mastercard #dakujeme",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/13102460_230151324020182_1571821928_n.jpg?ig_cache_key=MTIzNzUxNjA4NzE4MTM5NTE5OQ%3D%3D.2
BEp-1wLx0T4,1461657587,1,246,"Hilda je naša nová kamoška! Nebojí sa trollov, obrov ani trpaslíkov. Parádny komiks pre malých aj veľkých knihomoľov 👌#tipnaknihu #knihy #martinussk #hilda #komiks #lukepearson #milujemekrasneknihy #knihypaseka",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12960022_1708667856078894_814541911_n.jpg?ig_cache_key=MTIzNjc5NTk0NTQ0MzA4MzUxMg%3D%3D.2
BEnyOnUx0a-,1461583866,10,573,"Pozor, pozor, odteraz v našich kníhkupectvách nájdete úžasné ručne vyrábané čokolády Chocomaze 🍫 Pribalíme vám k ním parádne nálepky, ktoré potešia vás aj vašich blízkych 🙏 #martinussk #cokolady #chocomaze #prilisvelacokoladyjevzdytakakurat",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12918488_1098692933484568_387366868_n.jpg?ig_cache_key=MTIzNjE3NzUyOTM1OTI1NTIzMA%3D%3D.2
BEfwVtwR0dy,1461314440,0,165,Telá je novinka od Petra Krištúfka. V máji ju spoločne s autorom predstavíme aj v našom bratislavskom kníhkupectve na Obchodnej. 📖 #tipnaknihu #knihy #martinussk #slovenskaliteratura #peterkristufek #tela #artforum,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12940138_455920877952421_809353776_n.jpg?ig_cache_key=MTIzMzkxNzQyMTM5MjcwOTQ5MA%3D%3D.2
BEdlLh4x0U7,1461241481,0,220,"Parádny komiks! Najväčšie úspechy Emila Zátopka aj jeho zoznámenie s celoživotnou láskou Danou môžeme znova prežiť vďaka Jánovi Novákovi, Jaromírovi 99 a vydavateľstvu @knihypaseka  a @argo.cz 🙏📖 #tipnaknihu #knihy #martinussk #zatopek #jaromir99 #jannovak #nakladatelstviargo #komiks",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c183.0.714.714/12930763_1683160888603162_1391376048_n.jpg?ig_cache_key=MTIzMzMwNTM5Mjk5MDYwMjU1NQ%3D%3D.2.c
BEYBKf2R0Qc,1461054826,3,343,Naši kníhkupci spravia niekedy pre propagáciu dobrej knihy čokoľvek 😳 Knihomoľka Maťka odporúča knihu Yoga girl 👌 #tipnaknihu #martinussk #knihomolizmartinusu #joga #yogagirl #rachelbrathen #books #bookstagram,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12383159_132555810480242_1733705163_n.jpg?ig_cache_key=MTIzMTczOTYxNzUyMzc0NTgyMA%3D%3D.2
BEWHbuwx0cB,1460991004,0,259,"K Harper Lee niekedy potrebujete naozaj viac ceruziek, aby ste si podčiarkli zaujímavé myšlienky, ktoré vkladá do svojich kníh. Čítali ste už aj Postav hliadku? Pre tých, ktorí čítali Nezabíjajte vtáčika je to must read! 📖 #knihy #tipnaknihu #martinussk #pravecitam #books #bookstagram #ikar #harperlee #postavhliadku",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12905281_1697877860492164_1630782963_n.jpg?ig_cache_key=MTIzMTIwNDI0MDA5NDM0OTA1Nw%3D%3D.2
BEJejEMx0WS,1460566915,0,273,"SÚŤAŽ o poukážky v hodnote 50 eur je späť! Máte už aprílový tangram s veľrybou nalepený na nejakom zaujímavom mieste? Uverejnite jeho fotku s hashtagom #martinustangram a ste v hre! Na konci mesiaca vyberieme jednu, ktorá sa nám bude páčiť najviac a ďalšiu vyžrebujeme úplne náhodne. Držíme palce! 😊
PS: Súťažíme aj na Facebooku, žrebovať sa bude z obidvoch sietí. 
#martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #sutaz #tangram",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/12930784_1708108206136372_1239996249_n.jpg?ig_cache_key=MTIyNzY0NjcyNDUyMTU0MzA1OA%3D%3D.2.c
BED5Eubx0ed,1460379496,2,228,"Nevieme ako vy, ale my už usilovne opäť čítame obidve časti Metra! Nový diel vychádza o pár týždňov, ale čo je dôležitejšie - jeho autor @glukhovsky zavíta do nášho bratislavského kníhkupectva a to už 10. mája! Takže ak máte radi dobré sci-fi, na tejto akcii by ste nemali chýbať! ;-) #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #pozvanka #beseda #metro #metrovbratislave #finally #scifi",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/12905269_965675506834609_1236589307_n.jpg?ig_cache_key=MTIyNjA3NDUzNjk2MjExNTQ4NQ%3D%3D.2.c
BD-RUSQR0c7,1460190879,4,191,"Keď môže mať @gogomantv knihu, tak my môžeme mať video, no nie? 😄 Na Youtube sme založili novú rubriku #martinusaciradia a ako prvý sa podujal Juraj. Tak šup šup na Youtube, video nájdete cez hashtag alebo TU: http://citam.sk/tipyodjuraja (komu sa to nechce vypisovať), tak link aj v profile ☺️ #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #kniznetipy",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/e15/12965037_250905111926483_1681435968_n.jpg?ig_cache_key=MTIyNDQ5MjMwOTQ3MjAzNjY2Nw%3D%3D.2
BD7zOwVx0fS,1460107997,2,304,@_ket_666 sa môže tešiť z výhry v rámci #martinustangram súťaže a ďalší dvaja výhercovia tiež. Ich mená nájdete na našom Facebooku a už teraz sa tešíme na ďalšiu súťaž s tangramom! Už budúci týždeň! 😊 #martinus #martinussk #knihy #kniha #tangram,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/c0.80.638.638/12383160_928012020647877_1287077177_n.jpg?ig_cache_key=MTIyMzc5NzAzODExMDk1MTM3OA%3D%3D.2.c
BD0aL3Sx0aL,1459859985,1,217,"Kniha, o ktorej Neil Gaiman hovorí, že je to najlepší grafický román, aký posledné roky čítal? Must have pre všetkých milovníkov komiksov! 😊 #tipnaknihu #martinussk #scottmccloud #komiks #pravecitam",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12120405_1523949381244764_1006993335_n.jpg?ig_cache_key=MTIyMTcxNjU2MzQxODYyOTc3MQ%3D%3D.2
BDx79B4x0ao,1459777026,2,313,"Dnes je síce pondelok, ale nezabúdajte, že aj ten môže byť veľmi príjemný, ak si ho takým spravíte 😊 #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/12917947_467304106796393_1018065289_n.jpg?ig_cache_key=MTIyMTAyMDY1MjY1MjY3Njc3Ng%3D%3D.2.c
BDvpMhTx0TW,1459700082,1,298,Nedeľa má ešte pár hodín na relax pred novým týždňom. Mánia omaľovánok pre dospelých nekončí a stále vychádzajú nové knižky a nové témy 📖🎨😊 #tipnaknihu #knihy #martinussk #vikend #viaccasunacitanie #omalovanky #omalovankypredospelych #relax #nedela,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12912428_1016580891768772_583916069_n.jpg?ig_cache_key=MTIyMDM3NTIwNDM0NjY3NjQzOA%3D%3D.2
BDtG_Jtx0QE,1459615038,9,177,Dnes je Medzinárodný deň detskej knihy. Aká je tá vaša najobľúbenejšia? 📖 #martinussk #detskeknihy #tipnaknihu #vikend #viaccasunacitanie #tovejansson #slovart_vyd,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12070781_1717816575129540_337888296_n.jpg?ig_cache_key=MTIxOTY2MTgwMjEyNTA4MzY1Mg%3D%3D.2
BDqHyclx0ZU,1459514795,0,304,"Mysleli ste si, že v apríli pre vás nič nevymyslíme? Tsa! Stačí, ak si kúpite akékoľvek dve knihy od Ikaru, Odeonu, YOLi alebo Prírody a my vám k nim pribalíme Veselé krížovky! 😊 Mimochodom táto novinka od Davida Duchovneho (áno, toho z Aktov X a Californication) je naozaj super! 👍 Viac info na  http://www.martinus.sk/veselekrizovky/ #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #akcia #veselekrizovky",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/12599450_670823389687333_2036006701_n.jpg?ig_cache_key=MTIxODgyMDkwMjE1NTE0Mjc0MA%3D%3D.2.c
BDoLhCRR0VT,1459449641,5,307,"Pozor, pozor! O pár hodín končí nielen marec, ale aj naša Knižná šifra! Takže šup šup dolúštiť, urobiť marcový nákup, nech môžete vyhrať dvojnásobok, rozlúštiť tretiu bonusovú hádanku kvôli výhre zájazdu do Ázie a ak sa zúčastňujete aj tajnej súťaže, tak rýchlo dovyfarbovať omaľovánku! A to sme ešte nespomenuli súťaž s #martinustangram, ktorá tiež končí dnes! V skratke - berte to ako finále majstrovstiev sveta knižných súťaží! 😊 Držíme vám palce, ste tí najlepší riešitelia na svete! #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #kniznasifra #sutaz",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12677405_605245442963023_194044237_n.jpg?ig_cache_key=MTIxODI3NDM0Nzg5NTQ0MDcyMw%3D%3D.2
BDiWoRcx0ZH,1459254140,0,196,"Pozor, pozor! Už len tri dni máte na lúštenie Knižnej šifry a na uhádnutie tajného bonusu! 😳 #martinussk #kniznasifra #kniznasifra2 #kniznasifra2016 #sutaz #knihomoli",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12912856_1107980822556162_522149955_n.jpg?ig_cache_key=MTIxNjYzNDM3Mzg4MjIwMTY3MQ%3D%3D.2
BDaUxBbR0fh,1458984728,9,754,A ako trávite veľkonočnú sobotu vy? 😊 #kniha #knihy #martinus #martinussk #pravecitam #dnescitam #nashrncek (foto od @zuzkovnik),https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/1172967_1739318982980135_1125921416_n.jpg?ig_cache_key=MTIxNDM3NDM3OTI0NTc1MDI0MQ%3D%3D.2
BDYCf33R0QM,1458908042,4,477,Máte už pripravené čítanie na veľkonočné sviatky? 😊 #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #velkanoc (foto @zuzkovnik),https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/12081229_108873459511548_1478779570_n.jpg?ig_cache_key=MTIxMzczMTA4NTk1NjM2NzM3Mg%3D%3D.2
BDVhBsDx0Uh,1458823384,0,263,"Opäť nastal čas pochváliť sa svojimi fotkami tangramu! 😊 Hráme o dve poukážky v hodnote 50 eur a vyhrať môže každý, kto uverejní fotku marcového tangramu loďky nalepeného na nejakom zaujímavom mieste s hashtagom #martinustangram. Na konci mesiaca vyberieme jednu fotku, ktorá sa nám bude páčiť najviac a ďalšiu vyžrebujeme úplne náhodne. Držíme palce! 😊 Všetko o tangramoch a parádny tangram simulátor, nájdete tu: http://www.martinus.sk/tangram/
PS: Súťažiť môžete aj na našom Facebooku. Víťazov žrebujeme zo všetkých fotiek, na Instagrame, aj na Facebooku. ‬",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/12519559_1721426191468427_230211454_n.jpg?ig_cache_key=MTIxMzAyMDkyNjIwODU5MTEzNw%3D%3D.2.c
BDSrPnex0aU,1458728078,1,194,Aneta a Janica majú kopec rôznych aktivít a okrem toho aj jednu výbornú knihu s podtitulom Čo na srdci to na jazyku! O pravdivosti tejto vety sme sa presvedčili aj v našom bratislavskom kníhkupectve na besede s babami 😊📖 #tipnaknihu #martinussk #besedyvmartinuse #anetaajanica #jemine #conasrdcitonajazyku #fortunalibri,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10561142_1704134763184617_1991167613_n.jpg?ig_cache_key=MTIxMjIyMTQzODkwMDUyMDU5Ng%3D%3D.2
BDQu2-ZR0Tg,1458662864,10,402,Náš obľúbenec Charlie je späť! @slovart_vyd vydalo knihu Charlieho malé tajomstvá s novou obálkou a my sa z nej veľmi tešíme 😊📖👍 #tipnaknihu #martinussk #knihy #slovart_vyd #slovartbooklab #charliehomaletajomstva #theperksofbeingawallflower,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10268837_105270026538778_489750060_n.jpg?ig_cache_key=MTIxMTY3NDM4Nzc1MDAxMjEyOA%3D%3D.2
BDOP29eR0Vk,1458579502,1,259,"Vedeli ste, že dnes je Svetový deň poézie a zároveň Svetový deň zdravého spánku? Aby sa vašim deťom (a možno aj vám) lepšie spalo, odporúčame túto knihu 😊😴 #tipnaknihu #knihy #martinussk #svetovydenspanku #worldsleepday2016",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12081023_1686017281647274_297985416_n.jpg?ig_cache_key=MTIxMDk3NTA5NzM2NDg5MDk4MA%3D%3D.2
BDL4nPYx0RC,1458500206,3,195,"Ove je náš veľký obľúbenec! Ale vedeli ste, že Fredrik Backman po ňom napísal ešte druhú knihu a teraz už netrpezlivo čakáme na tretiu, ktorá vyjde čoskoro 😊📚 #tipnaknihu #vikend #viaccasunacitanie #martinussk #muzjmenemove #fredrikbackman #severskaliteratura #books #bookstagram",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12394124_1952377341654616_263775185_n.jpg?ig_cache_key=MTIxMDMwOTkxMjA2NTE2NDM1NA%3D%3D.2
BDF8X18R0Va,1458300850,6,218,Dnes sme išli do Prahy len a len kvôli pánovi v strede. Poznáte ho? 😊,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c100.0.879.879/12826040_938290339622551_1978895515_n.jpg?ig_cache_key=MTIwODYzNzU5NjI3NzA5NzgxOA%3D%3D.2.c
BDDMontx0Tu,1458208713,3,277,"Balla, Kepplová či Dušek? Finalisti Anasoft litera 2016 sú známi a všetkých pekne pokope nájdete tu: www.martinus.sk/anasoftlitera/ 📚 #knihy #martinussk #tipnaknihu #anasoftlitera #slovenskaliteratura",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/916019_837542969687412_292952330_n.jpg?ig_cache_key=MTIwNzg2NDY5MzA0NjU5Mjc1MA%3D%3D.2
BC0By0Cx0Ya,1457699713,0,170,"Herman vás dojme aj rozosmeje, budete ho mať radi a držať mu palce 🙏😊 #tipnaknihu #knihy #knihomoli #martinussk #idevikend #viaccasunacitanie #herman #slovart_vyd #severskaliteratura",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c194.0.692.692/12797972_1597325727182797_211787073_n.jpg?ig_cache_key=MTIwMzU5NDg5MDMxNjMwMTg1MA%3D%3D.2.c
BCxCoO5R0Zu,1457599487,13,296,Ktorú si vyberiete vy?🐶🐱 #tipnaknihu #martinussk #macicky #psiky #budalebo #ktozkoho,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c183.0.714.714/12783236_597084060468163_639799996_n.jpg?ig_cache_key=MTIwMjc1NDEzNjM1MDA4MjY3MA%3D%3D.2.c
BCuejIUx0bc,1457513462,3,231,"My sa dnes chystáme na premiéru a od zajtra je film dostupný v kinách pre všetkých! Prvé ohlasy sú skvelé, tak sme strašne zvedaví, ako si filmári poradili s predlohou od Dominika Dána. Knihu si teraz môžete kúpiť v paperbecku s filmovou obálkou! 📖🎬📽 #tipnaknihu #tipnafilm #dominikdan #slovart_vyd #cervenykapitan #citajknihuachoddokina #martinussk",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12383478_1686054411669835_484164561_n.jpg?ig_cache_key=MTIwMjAzMjUwNjA3MDA1ODcxNg%3D%3D.2
BCsq8LLR0QF,1457452850,4,312,"Knihy a kvety by sa mali darovať v akýkoľvek deň, ale na MDŽ sa to priam žiada 😊 Aká je vaša obľúbená ženská autorka alebo hrdinka? My sa tešíme na novinku od Marishe Pessl! #mdz #knihy #tipnaknihu #zenskeautorky #zenskehrdinky #kniznasifra",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12798009_1505724046402989_1812019805_n.jpg?ig_cache_key=MTIwMTUyNDA1MzcyMzUzMDI0NQ%3D%3D.2
BCmzDlqR0cG,1457255778,1,374,Kniha na dnešný deň. #tipnaknihu #volby2016,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12797632_1735188793361909_518353121_n.jpg?ig_cache_key=MTE5OTg3MDg5NzcwOTA3NDE4Mg%3D%3D.2
BCgJjipx0Yf,1457032693,2,234,"Paolo Giordano bol našou veľkou láskou od momentu, kedy sme si prečítali jeho prvú knihu Osamelosť prvočísiel, ale po jeho včerajšej návšteve v našom kníhkupectve... 💕💕💕 Ach! Giordana do každej rodiny! 😊 Viac fotiek zo včerajšej akcie nájdete na našom Facebooku. Za fotky ďakujeme šikovnej @c.z.immer 😊 #martinus #martinussk #knihy #kniha #citam #tipnaknihu #paologiordano #beseda #akcia #besedyvmartinuse",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.0.1079.1079/12822276_1518573691781140_1916398959_n.jpg?ig_cache_key=MTE5Nzk5OTUyNTY4ODk4NTExOQ%3D%3D.2.c
BCf9TTCx0dg,1457026269,3,271,"A už poznáme aj mená výherkýň našej #martinustangram súťaže! Sú nimi Anna Marya a Lucia Koperdáková, dámy, srdečne gratulujeme a všetkým ďakujeme za kreatívne nápady! Nič sa nebojte, so súťažami s tangramom nekončíme 😉 #martinus #martinussk #knihy #kniha #tangram #sutaz",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c120.0.720.720/12751144_1565169560467635_264738120_n.jpg?ig_cache_key=MTE5Nzk0NTYzMjg1ODc4NTYzMg%3D%3D.2.c
BCcXFoXx0XW,1456905571,0,204,Aké je najlepšie ráno? Predsa s dobrou knihou a dobrou kávou! 📖☕️ #tipnaknihu #knihy #knihomol #martinussk #pravecitam #vydavatelstvopremedia #books #bookstagram #coffee #coffeetime #mornings,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12816943_947920131994091_1709969004_n.jpg?ig_cache_key=MTE5NjkzMzE0Mjk4OTQ1Njg1NA%3D%3D.2
BCaepKsR0d7,1456842423,5,224,"Paolo Giordano sa na fotkách nerád usmieva, ale zato je fakt veľmi príjemný a my sa už nevieme dočkať zajtrajšej debaty s ním. Dostal od nás aj obrázok Knižnej šifry, z ktorej bol úprimne nadšený 😊 #paologiordano #besedyvmartinuse #paologiordanovmartinuse #kniznasifra #martinussk",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12716964_200915333601808_980044831_n.jpg?ig_cache_key=MTE5NjQwMzQyMTM5NDQ1NDM5NQ%3D%3D.2
BCYDtVBR0dj,1456761192,0,311,"Viete, čo majú všetky tieto knihy spoločné? Okrem toho, že sú skvelé, majú zároveň všetky viac ako 500 strán a tým pádom na ne dnes a len dnes platí zľava 25%! Ako na všetku hrubú beletriu na Martinus.sk 😊 Akcia sa skončí o polnoci, tak neváhajte 😉 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #akcia #zlava #welikethembig #hrubeknihy #viacakoknihajehrubakniha #harrypotterjetiezhruby #ajtennovy #tipnaknihu",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12748311_1681267125494724_381306755_n.jpg?ig_cache_key=MTE5NTcyMjAxMDE1Mjg3OTk3MQ%3D%3D.2
BCShHn7R0Xz,1456575286,9,455,"Už v utorok začína Knižná šifra 2! A máme pre všetkých aj jedno prekvapko: tentokrát nezamestná len vašu hlavu, ale aj ruky ;-) 🎨🏞✏️ 
#struhajtepastelky #kniznasifra #omalovanka",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12716760_1665674837019988_44333511_n.jpg?ig_cache_key=MTE5NDE2MjUxMDY0ODI2NDE3OQ%3D%3D.2
BCSBXO3x0Wp,1456558636,0,223,Naše víkendové čítanie a poctivá príprava na besedu s Paolom Giordanon 📚💐 #martinussk #vikend #viaccasunacitanie #besedyvmartinuse #paologiordano #paologiordanovmartinuse #slovart_vyd #smeknihy #knihy #knihomol #pravecitam,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12748489_1567741680213363_1809088017_n.jpg?ig_cache_key=MTE5NDAyMjg0NTc2OTI3MDY5Nw%3D%3D.2
BCNdNv4x0bw,1456405466,4,231,Kultová klasika od Harper Lee dorazila aj k nám do kníhkupectiev! Jedno z najvýznamnejších diel americkej literatúry by vám určite nemalo chýbať v domácej knižnici! 📚😊 #martinussk #knihy #tipnaknihu #harperlee #nezabijajtevtacika #pravecitam,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12502058_933753110065036_1015489575_n.jpg?ig_cache_key=MTE5MjczNzk2NDQ0MzUxODcwNA%3D%3D.2
BCNB7tqx0Ua,1456391163,2,293,Už budúci týždeň k nám zavíta Paolo Giordano a my sme sa rozhodli zobrať prípravy na jeho návštevu naozaj poctivo! 😊 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #paologiordano #beseda,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c24.0.1032.1032/12751255_749742435161157_2087647312_n.jpg?ig_cache_key=MTE5MjYxNzk3Nzg1NDc3MjUwNg%3D%3D.2.c
BCIHpDpR0Wg,1456226384,3,262,"Kto chce poukážku v hodnote 50 eur? Jasne, že každý! Ale získať ju môže len ten, kto z nášho tangramu vyskladá akéhokoľvek koníka a pridá hashtag #martinustangram Vyberať budeme podľa snahy a kreativity, ale ak nemáte nápad, inšpirujte sa našim obrázkom 😊 #martinussk #sutaz #martinustangram",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10358206_519520234881764_1419579068_n.jpg?ig_cache_key=MTE5MTIzNTcwOTE3NzM4MjMwNA%3D%3D.2
BCDP_T4R0YW,1456062988,8,620,Ako často pijete studený čaj? Nám sa to stáva najmä pri severských detektívkach 😇🙏☕️ #nedela #viaccasunacitanie #martinussk #martinushrncek,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12749847_977070489026798_862303190_n.jpg?ig_cache_key=MTE4OTg2NTA0NzkyNTkzMzU5MA%3D%3D.2
BCAIVDtx0W0,1455958309,1,298,Včerajší deň bol pre literárny svet veľmi smutný. RIP Umberto Eco a Harper Lee a ďakujeme za príbehy! 😥 #umbertoeco #harperlee #rip,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12750357_1070319933019270_1084514668_n.jpg?ig_cache_key=MTE4ODk4NjkzMzA5NjE3MDkzMg%3D%3D.2
BB-V7TIR0Rc,1455898329,0,359,Takáto obľuba #martinustangram sa nám naozaj páči! 👍 😊 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #tangram #Repost @dankatess,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/1389641_1049139875143254_772569128_n.jpg?ig_cache_key=MTE4ODQ4Mzc4NTYzODIzMzE4MA%3D%3D.2.c
BB7J8VCx0Zv,1455791383,71,201,"Už onedlho zavíta do nášho bratislavského kníhkupectva na Obchodnej jeden z najpopulárnejších autorov súčasnosti Paolo Giordano! 😍 O radosť z jeho príchodu sa radi podelíme. Napíšte nám do komentára, ako sa volá jeho slávna prvotina a my vyžrebujeme dvoch z vás, ktorým pošleme jeho novinku Čierna a strieborná. Držíme palce! 😊 
PS: Súťažíme aj na Facebooku. Tá istá výhra, len iná otázka. #martinus #martinussk #sutaz #kniha #knihy #tipnaknihu #pravecitam #cocitat #dnescitam #viaccasunacitanie",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c82.0.915.915/12725146_569464003218298_1689213199_n.jpg?ig_cache_key=MTE4NzU4NjY1NDkyNDY1NDE5MQ%3D%3D.2.c
BB47XNUR0W7,1455716630,8,207,"Ak chcete pauzu od severskej krimi, skúste detektívku z inej krajiny! Toto je najčítanejší autor vo Francúzsku 😊 #tipnaknihu #martinussk #detektivka #centralpark #guillaumemusso #motto",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11261917_1009416265799481_1189474285_n.jpg?ig_cache_key=MTE4Njk1OTU4MTQwMzEwNDY5OQ%3D%3D.2
BB202BHR0aZ,1455646103,1,250,"Gratulujeme @ivana_golianova k jej výhre s našim #martinustangram! Mená oboch výherkýň, ktorým srdečne gratulujeme, nájdete na našom Facebooku a ostatní nezúfajte, už o pár dní spúšťame ďalšiu súťaž s tangramom. 
#Repost #martinus #martinussk #sutaz #kniha #knihy #deliveringhappiness #viaccasunacitanie #pravecitam #cocitat",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12750242_535604529954517_1935986019_n.jpg?ig_cache_key=MTE4NjM2Nzk2MjMyNDg3OTAwMQ%3D%3D.2
BB0ELbix0S3,1455553480,5,329,"Lucka sa už teší zo svojej výhry s #martinustangram a nabudúce to môžete byť vy. Ešte dnes sa môžete zapojiť do súťaže, zajtra už žrebujeme ďalších výhercov! Držíme palce 😊 #Repost @lucicik #sutaz #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12716460_963154597099119_982225482_n.jpg?ig_cache_key=MTE4NTU5MDk3OTU4MDA4NTQzMQ%3D%3D.2
BBxHzk1R0XX,1455454718,0,304,Majte krásnu rozprávkovú nedeľu! 📖☕️💐❤️ #knihy #martinussk #tipnaknihu #pravecitam #peterpan #slovart_vyd #nedela #viaccasunacitanie,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/11253619_166650503713870_949932275_n.jpg?ig_cache_key=MTE4NDc2MjUwNzU0MjYxMTQxNQ%3D%3D.2
BBunZShx0f2,1455370617,1,263,"Ani vy sa už neviete dočkať návštevy Paola Giordana v Bratislave? 😊 Druhý marec sa blíži! Čo nám pripomína, že sme vám sľúbili súťaž o jeho knihy. Tak nás nezabudnite sledovať, budúci týždeň ju spúšťame a medzitým pripomíname súťaž s #martinustangram 😉 Užívajte víkend! Dnes s knihou a zajtra so svojou reálnou láskou 👫👬👭💕 #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #knihy #kniha #paologiordano #pes",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.0.967.967/12729690_1101198043258175_1496130315_n.jpg?ig_cache_key=MTE4NDA1NzAxMzczOTkzMTYzOA%3D%3D.2.c
